carrera,institucion,sede,direccion,web,nombre_pagina,enlace_ubicaciones
Diseño de Juegos Digitales,UNIVERSIDAD ANDRÉS BELLO,Campus Casona Las Condes,"Fernández Concha 700, Las Condes, Santiago",https://campuscreativo.cl/carreras/diseno-de-juegos-digitales/,campuscreativo.cl,"https://www.google.com/maps/place/33%C2%B022'29.6%22S+70%C2%B030'19.4%22W/@-33.3748895,-70.5075737,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.374894!4d-70.505385"
Diseño de Moda,IP INACAP,INACAP La Serena,"Francisco de Aguirre 389, La Serena",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,portales.inacap.cl,"https://www.google.com/maps/place/29%C2%B054'21.6%22S+71%C2%B015'07.1%22W/@-29.9060043,-71.2541677,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-29.906009!4d-71.251979"
Diseño de Moda,IP INACAP,INACAP Apoquindo,"Apoquindo Ote. 7282, Las Condes, Santiago",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,portales.inacap.cl,"https://www.google.com/maps/place/33%C2%B024'29.8%22S+70%C2%B033'12.1%22W/@-33.4082705,-70.5555577,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.408275!4d-70.553369"
Diseño de Moda,IP INACAP,INACAP Temuco,"Luis Durand 2150, Temuco",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,portales.inacap.cl,"https://www.google.com/maps/place/38%C2%B043'31.3%22S+72%C2%B037'48.5%22W/@-38.7253688,-72.6323257,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-38.725373!4d-72.630137"
Diseño de Vestuario,IP DUOC UC,Sede San Carlos de Apoquindo,"Camino El Alba 12881, Las Condes, Santiago",http://www.duoc.cl/carrera/diseno-de-vestuario,duoc.cl,"https://www.google.com/maps/place/33%C2%B023'58.8%22S+70%C2%B030'22.7%22W/@-33.3996615,-70.5084927,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.399666!4d-70.506304"
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,Sede Providencia,"Triana 820, Providencia, Santiago",http://admision.aiep.cl/carreras-tecnicas/tecnico-en-diseno-de-vestuario/,admision.aiep.cl,"https://www.google.com/maps/place/33%C2%B025'59.1%22S+70%C2%B037'28.3%22W/@-33.4330915,-70.6267267,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.433096!4d-70.624538"
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRÉS BELLO,Campus Casona Las Condes,"Fernández Concha 700, Las Condes,  Metropolitana, Chile",http://www.unab.cl/admision/carreras/diseno-vestuario-textil/,unab.cl,"https://www.google.com/maps/place/33%C2%B022'30.1%22S+70%C2%B030'18.4%22W/@-33.3750189,-70.5056522,19z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.37502!4d-70.505105"
"Diseño de Vestuario, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,Sede Santiago,"Santo Domingo 1083, Santiago, Santiago",http://www.paulinadiard.cl/,paulinadiard.cl/,"https://www.google.com/maps/place/33%C2%B026'10.5%22S+70%C2%B039'09.1%22W/@-33.4362578,-70.6536273,18z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.43626!4d-70.652533"
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLÓGICA METROPOLITANA,Campus Área Central,"Dieciocho 161, Santiago, Santiago",http://repositorio.utem.cl/handle/30081993/113,repositorio.utem.cl,"https://www.google.com/maps/place/33%C2%B026'54.5%22S+70%C2%B039'28.6%22W/@-33.4484685,-70.6601437,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.448473!4d-70.657955"
Diseño Gráfico,IP AIEP,Sede Barrio Universitario,"Av. Ejército Libertador 49, Santiago, Santiago",http://www.aiep.cl/carrera/diseno-grafico/43/,aiep.cl,"https://www.google.com/maps/place/33%C2%B026'51.1%22S+70%C2%B039'41.6%22W/@-33.4475345,-70.6637337,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.447539!4d-70.661545"
Diseño Gráfico,IP AIEP,Sede Providencia,"Triana 820, Providencia, Santiago",http://www.aiep.cl/carrera/diseno-grafico/43/,aiep.cl,"https://www.google.com/maps/place/33%C2%B025'59.1%22S+70%C2%B037'28.2%22W/@-33.4330915,-70.6266947,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.433096!4d-70.624506"
Diseño Gráfico,IP AIEP,Sede Rancagua,"Cuevas 70, Rancagua",http://www.aiep.cl/carrera/diseno-grafico/43/,aiep.cl,"https://www.google.com/maps/place/34%C2%B010'11.7%22S+70%C2%B044'08.6%22W/@-34.1699085,-70.7379117,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-34.169913!4d-70.735723"
Diseño Gráfico,IP AIEP,Sede Concepción,"Barros Arana 302, Concepción",http://www.aiep.cl/carrera/diseno-grafico/43/,aiep.cl,"https://www.google.com/maps/place/36%C2%B049'42.6%22S+73%C2%B003'17.1%22W/@-36.8285057,-73.0569587,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-36.828501!4d-73.054749"
Diseño Gráfico,IP DUOC UC,Sede Viña del Mar,"Álvarez 2336, Viña del Mar",http://www.duoc.cl/carrera/diseno-grafico,duoc.cl,"https://www.google.cl/maps/place/33%C2%B002'01.4%22S+71%C2%B031'59.5%22W/@-33.0337075,-71.5353727,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.033712!4d-71.533184"
Diseño Gráfico,IP DUOC UC,Sede San Carlos de Apoquindo,"Camino El Alba 12881, Las Condes, Santiago",http://www.duoc.cl/carrera/diseno-grafico,duoc.cl,"https://www.google.com/maps/place/33%C2%B023'58.7%22S+70%C2%B030'22.7%22W/@-33.3996435,-70.5084927,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.399648!4d-70.506304"
Diseño Gráfico,IP DUOC UC,Sede Plaza Vespucio,"Froilán Roa 7107, La Florida",http://www.duoc.cl/carrera/diseno-grafico,duoc.cl,"https://www.google.com/maps/place/33%C2%B030'57.7%22S+70%C2%B035'53.2%22W/@-33.5160265,-70.6003027,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.516031!4d-70.598114"
Diseño Gráfico,IP DUOC UC,Sede Plaza Oeste,"Av. Américo Vespucio 1501, Cerrillos, Santiago",http://www.duoc.cl/carrera/diseno-grafico,duoc.cl,"https://www.google.com/maps/place/33%C2%B030'54.7%22S+70%C2%B043'06.5%22W/@-33.5151989,-70.7190052,19z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.5152!4d-70.718458"
Diseño Gráfico,IP DUOC UC,Sede San Andrés de Concepción,"Paicaví 3280, Concepción",http://www.duoc.cl/carrera/diseno-grafico,duoc.cl,"https://www.google.com/maps/place/36%C2%B047'44.5%22S+73%C2%B003'41.3%22W/@-36.7956908,-73.0625713,18z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-36.795693!4d-73.061477"
Diseño Gráfico,IP SANTO TOMÁS,Sede Ruta 5 Norte,"Ruta 5 Norte 1068, La Serena",http://ipcft.santotomas.cl/carreras/diseno-grafico/,ipcft.santotomas.cl,"https://www.google.com/maps/place/29%C2%B054'31.0%22S+71%C2%B015'26.0%22W/@-29.9085973,-71.2594037,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-29.908602!4d-71.257215"
Diseño Gráfico,IP SANTO TOMÁS,Sede San Joaquín,"Vicuña Mackenna 4835, San Joaquín, Santiago",http://ipcft.santotomas.cl/carreras/diseno-grafico/,ipcft.santotomas.cl,"https://www.google.com/maps/place/33%C2%B029'47.1%22S+70%C2%B037'00.6%22W/@-33.4964235,-70.6190077,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.496428!4d-70.616819"
Diseño Gráfico,IP SANTO TOMÁS,Sede Talca,"Carlos Schorr 255, Talca",http://ipcft.santotomas.cl/carreras/diseno-grafico/,ipcft.santotomas.cl,"https://www.google.com/maps/place/35%C2%B025'44.3%22S+71%C2%B040'23.3%22W/@-35.4289756,-71.6753387,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-35.42898!4d-71.67315"
Diseño Gráfico,IP SANTO TOMÁS,Sede Concepción,"Arturo Prat 879, Concepción",http://ipcft.santotomas.cl/carreras/diseno-grafico/,ipcft.santotomas.cl,"https://www.google.com/maps/place/36%C2%B049'29.9%22S+73%C2%B003'43.5%22W/@-36.8249545,-73.0642819,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-36.824967!4d-73.062082"
Diseño Gráfico,IP SANTO TOMÁS,Sede Valdivia,"Av. Ramón Picarte 1160, Valdivia",http://ipcft.santotomas.cl/carreras/diseno-grafico/,ipcft.santotomas.cl,"https://www.google.cl/maps/place/39%C2%B049'02.9%22S+73%C2%B013'59.2%22W/@-39.8174639,-73.2353137,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-39.817468!4d-73.233125"
Diseño Gráfico,IP SANTO TOMÁS,Sede Puerto Montt,"Buena Vecindad 91, Puerto Montt",http://ipcft.santotomas.cl/carreras/diseno-grafico/,ipcft.santotomas.cl,"https://www.google.com/maps/place/41%C2%B028'22.0%22S+72%C2%B055'43.8%22W/@-41.472769,-72.9310207,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-41.472773!4d-72.928832"
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,Sede Valparaíso,"Brasil 2950, Valparaíso",http://www.pucv.cl/pucv/pregrado/diseno-grafico/2015-06-08/161054.html,pucv.cl,"https://www.google.com/maps/place/33%C2%B002'39.9%22S+71%C2%B036'21.1%22W/@-33.0444025,-71.6080447,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.044407!4d-71.605856"
