carrera,institucion,sede,direccion,web,nombre_pagina,enlace_ubicaciones
Diseño Gráfico Profesional,IP INACAP,INACAP La Serena,"Francisco de Aguirre 389, La Serena",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,inacap.cl,"https://www.google.cl/maps/place/29%C2%B054'21.8%22S+71%C2%B016'02.4%22W/@-29.9060463,-71.2695207,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-29.906051!4d-71.267332"
Diseño Gráfico Profesional,IP INACAP,INACAP Apoquindo,"Apoquindo Ote. 7282, Las Condes, Santiago",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,inacap.cl,"https://www.google.cl/maps/place/33%C2%B024'29.2%22S+70%C2%B033'12.0%22W/@-33.4081115,-70.5555227,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.408116!4d-70.553334"
Diseño Gráfico Profesional,IP INACAP,INACAP Peréz Rosales,"Brown Nte 290, Ñuñoa, Santiago",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,inacap.cl,"https://www.google.cl/maps/place/33%C2%B027'08.5%22S+70%C2%B035'26.3%22W/@-33.4523535,-70.5928387,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.452358!4d-70.59065"
Diseño Gráfico Profesional,IP INACAP,INACAP Puente Alto,"Av. Concha y Toro 2730, Puente Alto, Santiago",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,inacap.cl,"https://www.google.cl/maps/place/33%C2%B035'08.8%22S+70%C2%B034'51.0%22W/@-33.5857705,-70.5830197,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-33.585775!4d-70.580831"
Diseño Gráfico Profesional,IP INACAP,INACAP Curicó,"Juan Fernández 2010, Archipiélago, Curicó",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,inacap.cl,"https://www.google.cl/maps/place/34%C2%B058'43.8%22S+71%C2%B012'39.3%22W/@-34.978927,-71.2109284,15z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-34.978839!4d-71.210928"
Diseño Gráfico Profesional,IP INACAP,INACAP Temuco,"Luis Durand 2150, Temuco",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,inacap.cl,"https://www.google.cl/maps/place/38%C2%B043'31.6%22S+72%C2%B037'51.4%22W/@-38.7254145,-72.6323472,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-38.725444!4d-72.630942"
Diseño Gráfico Profesional,IP INACAP,INACAP Osorno,"Alcalde René Soriano Bórquez 2382, Osorno",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,inacap.cl,"https://www.google.cl/maps/place/40%C2%B034'52.1%22S+73%C2%B006'41.5%22W/@-40.5811431,-73.1137629,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-40.581131!4d-73.111542"
Diseño Gráfico Profesional,IP INACAP,INACAP Punta Arenas,"Av Bulnes 4, Punta Arenas",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,inacap.cl,"https://www.google.cl/maps/place/53%C2%B007'53.4%22S+70%C2%B052'44.8%22W/@-53.1314322,-70.8791099,15z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-53.131497!4d-70.87911"
Diseño Gráfico Profesional,IP INACAP,INACAP Arica,"Santa María 2190, Arica",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,inacap.cl,"https://www.google.cl/maps/place/18%C2%B028'08.8%22S+70%C2%B018'10.2%22W/@-18.4690989,-70.3050077,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-18.469104!4d-70.302819"
Diseño Gráfico Publicitario,IP LOS LEONES,Campus Arturo Prat,"Arturo Prat 269, Santiago, Santiago",http://www.ipleones.cl/carreras/diseno-grafico-publicitario,ipleones.cl,"https://www.google.cl/maps/place/33%C2%B026'54.6%22S+70%C2%B038'57.8%22W/@-33.4484245,-70.6511727,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-33.448492!4d-70.649392"
Diseño Industrial,IP DUOC UC,Sede Viña del Mar,"Álvarez 2336, Viña del Mar",http://www.duoc.cl/carrera/diseno-industrial,duoc.cl,"https://www.google.cl/maps/place/33%C2%B002'01.5%22S+71%C2%B031'58.5%22W/@-33.0336847,-71.5353728,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-33.033743!4d-71.532927"
